state,county,city,zip_code,total_population,total_population_2024,median_age,housing_units,median_gross_rent,median_home_value,median_household_income,white_population,black_population,american_indian_alaska_native_population,asian_population,hispanic_latino_population,foreign_born_population,total_moved_last_year,moved_from_different_state,moved_from_abroad,average_price,average_beds,average_baths,average_sqft,num_listings
CO,Hinsdale County,Lake City,81235,800,829,56.3,1096,838,347600,50500,708,9,11,2,38,2,789,730,7,847230.5555555555,2.55,2.227272727272727,1879.095238095238,36
CO,Las Animas County,Aguilar,81020,984,823,54.9,742,825,100600,31277,780,0,21,0,391,0,980,881,7,291319.3548387097,2.1,1.3636363636363635,2126.6363636363635,31
CO,Alamosa County,Mosca,81146,1039,820,40.0,379,920,163700,61000,895,0,18,4,206,61,1023,913,69,102635.36585365854,3.7142857142857135,2.2857142857142856,1877.7142857142856,41
CO,Park County,Alma,80420,803,819,46.9,908,1212,381500,66667,763,5,0,0,105,2,803,719,3,559992.6829268293,2.8823529411764706,1.2647058823529411,2055.4117647058824,41
CO,Weld County,Briggsdale,80611,844,809,39.8,318,850,375900,83750,781,0,8,0,129,9,833,743,46,436747.1666666667,3.555555555555556,2.0,2180.4444444444443,18
CO,Elbert County,Simla,80835,755,766,40.1,347,1034,192400,54063,665,19,29,0,0,0,755,597,63,273862.5,2.75,2.25,2071.25,8
CO,Saguache County,Moffat,81143,769,766,54.2,489,-666666666,150000,49135,750,0,0,0,23,6,769,730,26,223460.65853658537,2.5,1.6666666666666667,1119.0,41
CO,Crowley County,Sugar City,81076,745,764,41.5,224,1083,48100,40847,526,3,12,0,260,15,745,642,1,91000.0,2.0,1.0,876.0,2
CO,Park County,Lake George,80827,611,762,64.9,809,-666666666,294200,48654,551,0,29,0,15,14,611,580,0,378708.0344827586,2.142857142857143,1.5333333333333334,1565.7857142857142,29
CO,Mineral County,Creede,81130,745,762,51.4,1323,823,348600,55069,696,12,1,13,12,0,735,595,6,454104.125,2.909090909090909,2.363636363636364,1879.7272727272727,24
CO,San Miguel County,Placerville,81430,714,745,52.9,632,1986,615800,86471,699,0,15,0,17,0,714,645,16,2091927.7777777775,4.083333333333333,4.25,3930.9166666666665,36
CO,Costilla County,Blanca,81123,820,729,44.5,451,807,97100,42614,591,0,0,32,332,55,818,694,24,32388.78048780488,2.333333333333333,2.0,1283.6666666666667,41
CO,Pueblo County,Boone,81025,783,716,52.2,574,960,96300,62500,731,0,29,0,220,5,776,598,153,354795.5555555556,3.25,1.875,2279.0,9
CO,El Paso County,Green Mountain Falls,80819,831,701,34.8,662,1137,340200,60491,757,11,0,16,22,0,831,766,24,307500.0,2.0,2.0,1516.0,2
CO,El Paso County,Colorado Springs,80928,831,698,41.8,336,1714,164400,66250,756,0,4,5,24,4,812,740,38,2428553.571428572,3.5,2.071428571428572,2318.714285714286,28
CO,Gilpin County,Central City,80427,680,686,43.8,479,1340,330700,55448,545,36,25,0,155,24,680,509,80,276643.4782608696,2.5,2.375,1496.125,23
CO,Weld County,Gill,80624,928,681,37.6,390,1831,465700,83750,800,0,12,0,149,29,928,793,61,,,,,0
CO,Mesa County,Glade Park,81523,668,669,60.5,561,-666666666,536100,78379,668,0,0,0,0,15,668,599,69,440245.3636363637,4.0,3.0,3333.25,11
CO,Clear Creek County,Empire,80438,635,649,46.2,534,1538,218200,55044,558,9,2,14,50,0,635,509,119,188250.0,1.6666666666666667,1.3333333333333333,769.3333333333334,4
CO,San Juan County,Silverton,81433,649,627,44.4,545,988,313000,59750,599,0,0,0,113,46,649,616,7,583828.4375,3.6,3.125,2883.0,32
CO,Pitkin County,Woody Creek,81656,299,605,64.0,263,-666666666,-666666666,-666666666,241,0,0,0,90,23,299,299,0,10950000.0,6.0,5.0,5893.0,1
CO,Moffat County,Dinosaur,81610,290,600,27.4,221,650,169200,67917,290,0,0,0,0,0,290,142,116,226180.0,1.5,0.5,510.0,5
CO,Prowers County,Granada,81041,618,579,38.4,327,554,74100,42065,523,0,0,11,441,87,613,552,55,1173300.0,,0.0,,1
CO,Morgan County,Hillrose,80733,580,565,46.7,242,950,186100,70263,542,0,0,0,73,14,572,526,7,329000.0,3.0,2.0,1408.0,1
CO,San Miguel County,Redvale,81431,425,555,48.7,201,-666666666,270000,66250,399,0,0,0,0,0,425,374,17,751322.2222222222,3.2857142857142856,2.0,1893.7142857142856,9
CO,Logan County,Iliff,80736,530,553,41.8,233,920,121600,68438,492,0,0,0,125,0,529,482,35,239919.25,4.25,3.0,2640.0,4
CO,Fremont County,Rockvale,81244,513,553,47.9,269,706,161800,54178,482,0,1,0,129,3,513,478,26,,,,,0
CO,Boulder County,Ward,80481,613,532,47.3,467,1804,453000,-666666666,402,0,176,6,7,13,612,581,11,616500.0,2.5,2.0,2071.5,3
CO,Boulder County,Allenspark,80510,462,522,50.5,671,-666666666,383700,153889,432,2,0,0,20,0,461,276,30,787400.0,2.75,2.25,1917.25,10
CO,Teller County,Victor,80860,439,515,52.8,425,729,159300,51042,391,0,0,0,60,0,433,386,17,312453.8461538461,3.333333333333333,2.1666666666666665,2264.9166666666665,13
CO,Routt County,Clark,80428,509,512,45.4,489,-666666666,562500,77885,504,0,5,0,0,0,509,380,79,556567.8571428572,3.1666666666666665,0.6071428571428571,2072.375,28
CO,Park County,Guffey,80820,709,512,58.8,702,-666666666,352000,66875,689,0,0,0,29,0,709,686,0,1274343.9024390243,3.0,2.583333333333333,2997.7391304347825,41
CO,Yuma County,Eckley,80727,532,506,37.6,280,816,103400,49516,487,0,0,0,126,67,532,448,57,269250.0,3.375,2.0,1565.625,8
CO,Routt County,Yampa,80483,594,504,46.5,336,1200,266800,64063,484,0,21,20,56,21,577,459,76,3899500.0,4.0,1.5,1700.0,2
CO,Dolores County,Cahone,81320,503,485,44.9,237,-666666666,172200,30823,425,0,55,0,0,0,503,396,0,203475.0,,,,4
CO,Montrose County,Naturita,81422,483,479,49.8,288,760,143800,23750,478,0,0,0,12,0,483,472,0,181125.0,2.6666666666666665,2.6666666666666665,1593.6666666666667,8
CO,Logan County,Peetz,80747,454,468,43.7,194,1019,144000,67500,433,3,0,7,43,5,440,422,7,360166.6666666667,3.333333333333333,2.0,2432.0,3
CO,El Paso County,Colorado Springs,80914,384,468,21.7,0,-666666666,-666666666,-666666666,266,30,5,8,73,14,384,169,3,,,,,0
CO,Mesa County,Mesa,81643,368,468,61.2,491,-666666666,436200,74464,367,0,0,0,1,0,368,368,0,454313.6363636364,3.0,1.8,2196.125,22
CO,Custer County,Wetmore,81253,405,457,61.7,269,-666666666,-666666666,63646,405,0,0,0,0,0,405,380,0,,,,,0
CO,Fremont County,Coal Creek,81221,414,452,37.5,156,860,118000,36471,400,0,0,0,41,0,406,394,12,253933.3333333333,3.1666666666666665,2.0,1712.5,9
CO,Sedgwick County,Ovid,80744,461,449,51.9,197,630,72900,31429,375,0,0,3,103,36,451,396,5,354250.0,1.0,1.0,581.0,2
CO,Dolores County,Rico,81332,377,445,54.5,319,1444,413700,75298,302,0,51,0,11,9,377,352,0,377909.0909090909,3.0,3.0,1786.0,11
CO,Alamosa County,Hooper,81136,328,440,22.8,125,653,158000,40000,319,8,0,0,93,54,328,289,30,150411.76470588235,2.6666666666666665,1.6666666666666667,1525.3333333333333,17
CO,Jefferson County,Kittredge,80457,414,430,40.5,238,-666666666,457000,110536,414,0,0,0,30,0,414,306,95,,,,,0
CO,Clear Creek County,Dumont,80436,403,423,58.1,231,-666666666,323300,-666666666,341,0,19,0,43,0,403,394,0,,,,,0
CO,Logan County,Atwood,80722,485,414,36.0,154,-666666666,206300,98250,449,0,0,0,54,40,485,485,0,160000.0,2.0,1.0,954.0,1
CO,Bent County,McClave,81057,322,414,45.5,176,688,141700,48984,306,0,0,0,26,0,322,305,2,1600000.0,3.0,3.0,5206.0,1
CO,Grand County,Parshall,80468,403,411,62.3,191,549,-666666666,-666666666,384,0,0,0,19,0,393,359,15,1506250.0,4.0,1.5,2760.5,4
CO,Weld County,Grover,80729,429,403,57.3,234,692,175000,53750,412,0,0,0,1,0,427,393,11,247500.0,2.0,2.0,1313.0,2
CO,Boulder County,Jamestown,80455,431,402,51.3,301,1536,348900,76042,399,0,0,26,20,36,431,405,26,699410.0,3.0,2.0,1626.5,2
CO,Kit Carson County,Bethune,80805,394,400,39.6,156,975,131900,52031,307,0,3,3,79,30,392,347,8,,,,,0
CO,Park County,Jefferson,80456,307,399,59.1,1227,-666666666,332600,91875,307,0,0,0,0,0,307,274,0,261335.2682926829,2.555555555555556,1.0714285714285714,1569.611111111111,41
CO,Logan County,Crook,80726,389,393,52.5,220,695,217300,53021,365,0,0,0,38,0,384,334,23,28000.0,,,,2
CO,Lincoln County,Genoa,80818,471,389,32.8,225,775,119700,57000,462,0,0,0,2,4,471,444,2,162000.0,2.0,1.0,802.5,2
CO,Yuma County,Kirk,80824,380,379,45.8,169,-666666666,216200,80000,279,0,0,0,73,0,343,332,2,200000.0,2.0,1.0,2329.0,1
CO,Fremont County,Coaldale,81222,425,379,58.1,238,-666666666,275000,-666666666,425,0,0,0,33,0,425,377,48,499900.0,4.0,3.0,2465.0,1
CO,Costilla County,Chama,81126,387,371,31.9,209,-666666666,138200,56250,83,0,72,0,387,0,387,276,14,,,,,0
CO,Conejos County,Romeo,81148,313,365,36.3,163,775,91500,35250,185,0,8,1,262,12,313,256,23,,,,,0
CO,Archuleta County,Arboles,81121,362,357,52.6,235,1250,230800,57500,208,0,9,0,124,7,358,324,4,,,,,0
CO,Routt County,Phippsburg,80469,354,356,37.3,136,-666666666,336100,74138,349,0,0,5,0,0,354,341,0,399000.0,2.0,1.0,1037.0,1
CO,Conejos County,Capulin,81124,164,356,48.8,59,-666666666,-666666666,-666666666,83,0,30,2,124,2,164,163,0,,,,,0
CO,Elbert County,Agate,80101,459,354,52.3,237,1680,404500,69000,450,0,9,0,45,31,459,396,34,654028.3333333334,0.6666666666666666,0.6666666666666666,568.0,9
CO,Lake County,Twin Lakes,81251,226,351,59.7,336,-666666666,318800,67903,226,0,0,0,18,0,226,194,0,433889.44736842107,2.2,1.4,2248.8,38
CO,Denver County,Denver,80290,281,349,48.0,192,2405,-666666666,103816,167,0,0,29,146,19,281,118,19,,,,,0
CO,Weld County,Orchard,80649,429,347,61.2,202,786,424000,86563,408,0,0,0,35,3,427,356,48,125000.0,,,,3
CO,Cheyenne County,Kit Carson,80825,375,346,36.7,239,563,118800,52500,348,3,0,0,4,0,369,345,2,223333.0,3.6666666666666665,2.6666666666666665,1648.3333333333333,3
